Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,1
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,1
Drone,1
Overlord,1
Ling,4
Queen,2
Drone,2
Metabolic_Boost,1
Drone,1
Flyer_Carapace,8
Overlord,1
Pneumatized_Carapace,1
Drone,1
Hatch,1
Drone,1
Overlord,1
Creep_Tumor,1
Drone,3
Drone,2
Drone,1
Queen,1
Creep_Tumor,1
Overlord,1
Queen,1
Drone,3
Creep_Tumor,1
Overlord,1
Ling,2
Drone,2
Ling,2
Creep_Tumor,2
Ling,2
Creep_Tumor,1
Drone,1
Queen,1
Drone,3
Queen,1
Creep_Tumor,1
Overlord,1
Creep_Tumor,1
Ling,2
Overlord,1
Extractor,1
Bane_Nest,1
Lair,1
Hydra,2
Creep_Tumor,1
Drone,6
Ling,2
Creep_Tumor,2
Queen,1
Ling,4
Creep_Tumor,1
Extractor,2
Drone,3
Overlord,1
Creep_Tumor,1
Bane,5
Hatch,1
Drone,2
Ling,6
Overlord,1
Ling,10
Creep_Tumor,2
Drone,2
Extractor,1
Metabolic_Boost,1
Bane,6
Centrifugal_Hooks,1
Creep_Tumor,3
Queen,1
Creep_Tumor,3
Drone,1
Evo_Chamber,2
Overseer,1
Drone,1
Queen,1
Centrifugal_Hooks,1
Ling,6
Overlord,3
Ling,8
Creep_Tumor,4
Creep_Tumor,1
Bane,3
Creep_Tumor,1
Creep_Tumor,1
Creep_Tumor,4
Centrifugal_Hooks,1
Creep_Tumor,1
Creep_Tumor,4
Creep_Tumor,1
Overlord,1
Overlord,3
Melee_Attacks,1
Carapace_Upgrade,1
Overlord,2
Drone,9
Queen,1
Muscular_Augments,1
Creep_Tumor,1
Overlord,1
Ling,10
Creep_Tumor,1
Ling,6
Bane,8
Creep_Tumor,4
Creep_Tumor,3
Creep_Tumor,1
Ling,6
Overlord,2
Ling,14
Creep_Tumor,1
Bane,3
Creep_Tumor,5
Ling,2
Overlord,1
Melee_Attacks,4
Ling,16
Ling,4
Ling,6
Queen,4
Flyer_Attacks,8
Ling,12
Extractor,1
Drone,1
Bane,14
Ling,14
Creep_Tumor,3
Grooved_Spines,1
Ling,10
Bane,4
Hatch,1
Carapace_Upgrade,1
Melee_Attacks,1
Ling,12
Creep_Tumor,1
Creep_Tumor,1
Bane,10
Ling,14
Extractor,1
Spore_Crawler,1
Creep_Tumor,1
Drone,3
Creep_Tumor,1
Ling,16
Ling,10
Infestation_Pit,1
Creep_Tumor,2
Overlord,4
Drone,2
Creep_Tumor,1
Overseer,1
Bane,5
Creep_Tumor,2
Grooved_Spines,1
Carapace_Upgrade,1
Drone,1
Overlord,1
Melee_Attacks,1
Creep_Tumor,1
Hatch,1
Ling,12
Queen,1
Burrow,1
Hydra,5
Creep_Tumor,1
Hive,1
Hydra,6
Drone,8
Queen,1
Creep_Tumor,1
Ling,20
Hydra,4
Creep_Tumor,1
Ling,8
Queen,2
Creep_Tumor,1
Bane,7
Creep_Tumor,1
Bane,13
Creep_Tumor,1
Bane,3
Extractor,1
Lurker_Den,1
Ling,20
Overseer,2
Extractor,1
Missile_Attacks,1
Carapace_Upgrade,1
Ling,4
Ling,22
Ling,6
Hatch,1
Ling,4
Hatch,1
Seismic_Spines,1
Overseer,1
Bane,5
Viper,2
Ling,4
Carapace_Upgrade,8
Creep_Tumor,2
Drone,1
Creep_Tumor,2
Ling,34
Ling,2
Creep_Tumor,1
Creep_Tumor,1
Drone,6
Lurker,1
Adaptive_Talons,1
Bane,12
Lurker,8
Spore_Crawler,1
Ling,10
Spore_Crawler,1
Extractor,1
Drone,1
Extractor,1
Ling,32
Drone,2
Bane,13
Creep_Tumor,2
Extractor,8
Missile_Attacks,1
Melee_Attacks,1
Nydus,1
Creep_Tumor,1
Viper,1
Ling,18
Ling,6
Overseer,1
Viper,2
Ling,14
Ling,6
Lurker,5
Ling,6
Bane,10
Ling,14
Bane,12
Creep_Tumor,1
Hydra,2
Hatch,1
Hatch,1
Ling,16
Adrenal_Glands,1
Ling,14
