Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,1
Overlord,1
Drone,1
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,2
Overlord,1
Ling,4
Queen,2
Drone,2
Hatch,1
Spore_Crawler,1
Creep_Tumor,1
Metabolic_Boost,1
Drone,1
Overlord,1
Drone,2
Queen,1
Creep_Tumor,1
Drone,2
Overlord,1
Drone,2
Creep_Tumor,1
Queen,1
Drone,1
Creep_Tumor,1
Drone,2
Creep_Tumor,2
Queen,1
Ling,4
Creep_Tumor,3
Creep_Tumor,1
Drone,2
Overlord,1
Drone,4
Ling,4
Overlord,1
Queen,2
Creep_Tumor,1
Queen,1
Creep_Tumor,1
Creep_Tumor,1
Drone,3
Creep_Tumor,1
Creep_Tumor,1
Drone,1
Lair,1
Extractor,1
Drone,1
Queen,1
Creep_Tumor,1
Bane_Nest,1
Drone,2
Spore_Crawler,1
Creep_Tumor,1
Drone,2
Creep_Tumor,3
Ling,4
Creep_Tumor,1
Spore_Crawler,1
Drone,1
Spore_Crawler,1
Drone,1
Creep_Tumor,1
Creep_Tumor,2
Overlord,1
Creep_Tumor,3
Ling,2
Overlord,1
Spore_Crawler,1
Drone,1
Overlord,1
Creep_Tumor,1
Hatch,1
Overseer,1
Centrifugal_Hooks,1
Queen,1
Drone,5
Creep_Tumor,3
Drone,1
Overseer,1
Creep_Tumor,1
Drone,2
Creep_Tumor,3
Drone,2
Extractor,3
Evo_Chamber,2
Ling,2
Creep_Tumor,3
Ling,4
Overlord,1
Drone,4
Overlord,1
Drone,1
Creep_Tumor,2
Drone,2
Overlord,1
Creep_Tumor,3
Creep_Tumor,1
Creep_Tumor,1
Ling,6
Queen,2
Ling,8
Bane,8
Ling,6
Hatch,1
Ling,4
Creep_Tumor,3
Overlord,1
Melee_Attacks,1
Carapace_Upgrade,1
Spore_Crawler,1
Ling,6
Drone,4
Creep_Tumor,3
Bane,5
Overlord,1
Ling,8
Carapace_Upgrade,1
Ling,4
Bane,11
Ling,2
Ling,4
Queen,2
Ling,8
Bane,3
Ling,4
Ling,2
Queen,2
Ling,4
Ling,2
Queen,1
Ling,2
Creep_Tumor,2
Bane,18
Ling,6
Creep_Tumor,3
Ling,4
Ling,2
Hatch,1
Bane,10
Queen,1
Creep_Tumor,3
Ling,12
Overlord,1
Creep_Tumor,3
Creep_Tumor,2
Creep_Tumor,5
Creep_Tumor,2
Ling,4
Overlord,1
Ling,4
Overlord,1
Queen,1
Ling,24
Ling,10
Creep_Tumor,1
Creep_Tumor,3
Queen,2
Bane,13
Ling,8
Ling,2
Bane,7
