Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,2
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,1
Drone,1
Ravager,2
Drone,1
Ling,2
Overlord,1
Queen,2
Drone,2
Metabolic_Boost,1
Drone,1
Hatch,1
Drone,1
Drone,1
Drone,1
Bane_Nest,1
Overlord,1
Drone,1
Drone,2
Evo_Chamber,1
Ling,4
Queen,1
Drone,1
Ling,2
Overlord,1
Drone,1
Ling,2
Drone,5
Carapace_Upgrade,1
Overlord,1
Drone,2
Missile_Attacks,1
Drone,2
Roach_Warren,1
Seismic_Spines,5
Extractor,2
Lair,1
Bane,1
Drone,1
Ling,6
Drone,2
Overlord,1
Bane,1
Drone,1
Overlord,1
Creep_Tumor,1
Bane,1
Ling,12
Drone,2
Overlord,1
Drone,5
Overlord,1
Drone,2
Drone,1
Queen,1
Seismic_Spines,9
Extractor,1
Queen,1
Overlord,1
Roach,6
Roach,2
Overseer,1
Roach,1
Drone,1
Missile_Attacks,1
Drone,1
Extractor,1
Creep_Tumor,2
Pneumatized_Carapace,1
Extractor,1
Creep_Tumor,1
Drone,1
Overlord,1
Drone,2
Glial_Reconstitution,1
Metabolic_Boost,1
Creep_Tumor,2
Hatch,1
Drone,1
Infestation_Pit,1
Roach,6
Overseer,1
Overlord,1
Roach,1
Creep_Tumor,1
Roach,1
Overlord,1
Overlord,1
Drone,1
Drone,1
Lurker_Den,1
Overlord,1
Hive,1
Spore_Crawler,1
Roach,6
Spore_Crawler,1
Drone,1
Overlord,1
Spore_Crawler,1
Creep_Tumor,2
Drone,1
Roach,6
Spore_Crawler,1
Drone,1
Hydra,4
Ravager,4
Overlord,1
Overlord,2
Overlord,1
Lurker,3
Lurker,1
Roach,4
Roach,11
Roach,9
Roach,1
Roach,3
Creep_Tumor,1
Hatch,1
Hydra,4
Seismic_Spines,1
Overlord,1
Drone,2
Lurker,3
Overlord,1
Lurker,1
Creep_Tumor,1
Creep_Tumor,2
Drone,2
Roach,5
Creep_Tumor,1
Creep_Tumor,1
Extractor,1
Spore_Crawler,1
Drone,3
Hydra,2
Extractor,1
Evo_Chamber,1
Missile_Attacks,1
Spore_Crawler,1
Drone,3
Muscular_Augments,1
Adaptive_Talons,1
Overlord,1
Drone,1
Carapace_Upgrade,1
Creep_Tumor,1
Drone,3
Creep_Tumor,2
Creep_Tumor,1
Viper,2
Hydra,2
Drone,2
Spine_Crawler,1
Spore_Crawler,2
Hatch,1
Hydra,1
Creep_Tumor,2
Muscular_Augments,1
Creep_Tumor,2
Creep_Tumor,2
Carapace_Upgrade,1
Missile_Attacks,1
Drone,3
Drone,8
Grooved_Spines,1
Creep_Tumor,3
Lurker,3
Creep_Tumor,1
Hydra,3
Hatch,1
Creep_Tumor,3
Overseer,1
Creep_Tumor,2
Overseer,1
Drone,2
Overseer,1
Creep_Tumor,2
Creep_Tumor,4
Creep_Tumor,2
Lurker,2
Creep_Tumor,2
Drone,3
Lurker,7
Spore_Crawler,3
Drone,1
Spore_Crawler,1
Spore_Crawler,2
Extractor,2
Spore_Crawler,2
Creep_Tumor,4
Hatch,1
Viper,3
Spore_Crawler,2
Carapace_Upgrade,1
Seismic_Spines,5
Spine_Crawler,2
Hydra,3
Overseer,6
Creep_Tumor,4
Spore_Crawler,2
Drone,3
Hydra,2
Creep_Tumor,1
Hydra,8
Creep_Tumor,1
Hydra,2
Queen,1
Extractor,2
Creep_Tumor,1
Creep_Tumor,1
Spine_Crawler,3
Drone,3
Creep_Tumor,3
Creep_Tumor,2
Creep_Tumor,4
Creep_Tumor,3
Creep_Tumor,2
Creep_Tumor,1
Hydra,2
Creep_Tumor,3
Ravager,1
Carapace_Upgrade,1
Creep_Tumor,12
Drone,2
Viper,5
Creep_Tumor,1
Hatch,1
Hydra,5
Hydra,6
Hatch,1
Roach_Warren,1
Hydra,13
Lurker,2
Lurker,3
Hatch,1
Carapace_Upgrade,5
Hydra,2
Overseer,5
Viper,1
Extractor,1
Lurker,3
Lurker,1
Extractor,2
Viper,3
Hatch,1
Lurker,9
Hatch,1
Viper,4
Viper,3
Overlord,1
Drone,2
Evo_Chamber,2
Hydra,5
Overlord,1
Hydra,3
Viper,2
Overlord,1
Extractor,2
Evo_Chamber,1
Drone,3
Overlord,1
Hydra,7
Lurker,3
Hydra,4
Overseer,3
Hydra,10
Drone,3
Lurker,21
Drone,5
Queen,1
Drone,3
Lurker,4
Hydra,3
Evo_Chamber,1
Overlord,1
Evo_Chamber,1
Lurker,9
Roach,4
Overlord,6
Overlord,1
Overlord,1
Viper,4
Hydra,14
Hatch,1
Hydra,9
Overlord,3
Creep_Tumor,5
Lurker,2
Lurker,2
Creep_Tumor,2
Hatch,1
Lurker,1
Creep_Tumor,2
Lurker,4
Creep_Tumor,1
Extractor,1
Ling,7
Hydra,1
Overseer,3
Hydra,7
Drone,1
Lurker,1
Hydra,4
Lurker,4
Drone,5
Extractor,1
Drone,3
Extractor,1
Viper,4
Overlord,5
Viper,3
Drone,1
Drone,1
Creep_Tumor,2
Hydra,16
Flyer_Carapace,10
Overseer,1
Roach,12
Overseer,3
Overseer,2
Overlord,1
Ling,21
Hydra,12
Overseer,9
