Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,1
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,1
Drone,1
Ravager,7
Overlord,1
Ling,4
Queen,2
Drone,2
Hatch,1
Creep_Tumor,1
Metabolic_Boost,1
Overlord,1
Drone,1
Queen,1
Creep_Tumor,1
Overlord,1
Creep_Tumor,2
Drone,2
Pneumatized_Carapace,1
Creep_Tumor,2
Creep_Tumor,1
Drone,1
Ling,4
Queen,1
Creep_Tumor,1
Drone,1
Ling,2
Overlord,1
Queen,1
Creep_Tumor,1
Drone,1
Creep_Tumor,1
Drone,2
Overlord,1
Drone,1
Ling,4
Queen,1
Ling,6
Drone,1
Queen,1
Drone,1
Overlord,1
Ling,2
Queen,1
Drone,3
Roach_Warren,1
Drone,2
Creep_Tumor,1
Spore_Crawler,1
Lair,1
Spore_Crawler,2
Spore_Crawler,1
Drone,2
Queen,1
Ling,6
Roach,5
Roach,1
Extractor,1
Drone,3
Overlord,1
Creep_Tumor,2
Drone,2
Creep_Tumor,1
Drone,1
Drone,1
Overlord,1
Drone,1
Queen,1
Spine_Crawler,1
Creep_Tumor,2
Drone,1
Extractor,2
Creep_Tumor,2
Overlord,1
Evo_Chamber,1
Extractor,1
Queen,1
Creep_Tumor,1
Overlord,1
Ling,4
Drone,1
Spire,1
Overseer,1
Drone,1
Creep_Tumor,2
Hatch,1
Drone,3
Missile_Attacks,1
Drone,1
Overlord,1
Queen,1
Creep_Tumor,2
Overlord,1
Drone,4
Creep_Tumor,2
Creep_Tumor,3
Drone,2
Creep_Tumor,5
Creep_Tumor,2
Drone,1
Overlord,1
Creep_Tumor,1
Overseer,1
Corruptor,7
Flyer_Attacks,1
Extractor,2
Drone,6
Creep_Tumor,1
Corruptor,1
Drone,1
Hatch,1
Creep_Tumor,1
Ling,2
Roach,8
Creep_Tumor,2
Overlord,1
Roach,1
Roach,1
Creep_Tumor,1
Overlord,1
Ling,2
Overlord,2
Overlord,1
Roach,1
Roach,6
Ravager,6
Missile_Attacks,1
Glial_Reconstitution,1
Drone,3
Overlord,1
Evo_Chamber,1
Drone,1
Corruptor,3
Creep_Tumor,1
Drone,7
Bane_Nest,1
Infestation_Pit,1
Ravager,2
Ling,8
Roach,2
Creep_Tumor,2
Flyer_Attacks,1
Glial_Reconstitution,1
Creep_Tumor,2
Roach,4
Carapace_Upgrade,1
Melee_Attacks,1
Ling,16
Creep_Tumor,2
Roach,4
Roach,3
Overlord,1
Roach,8
Hive,1
Creep_Tumor,2
Drone,5
Ling,4
Ling,28
Spine_Crawler,1
Spore_Crawler,2
Creep_Tumor,1
Spine_Crawler,2
Creep_Tumor,1
Creep_Tumor,3
Creep_Tumor,1
Hatch,1
Creep_Tumor,1
Ling,18
Roach,1
Corruptor,3
Creep_Tumor,2
Corruptor,1
Ravager,7
Ling,4
Creep_Tumor,1
Ling,16
Ling,6
Ling,6
Roach,1
Ling,6
Roach,2
Roach,5
Centrifugal_Hooks,1
Roach,1
Melee_Attacks,1
Missile_Attacks,1
Roach,2
Creep_Tumor,1
Roach,2
Queen,2
Drone,3
Bane,11
Ravager,3
Extractor,2
Drone,1
Ravager,6
Creep_Tumor,3
Creep_Tumor,1
Drone,6
Melee_Attacks,1
Queen,1
Hatch,1
Drone,4
Spine_Crawler,2
Drone,2
Spore_Crawler,1
Burrow,8
Spine_Crawler,1
Drone,7
Creep_Tumor,2
Drone,4
Creep_Tumor,2
Creep_Tumor,3
Corruptor,4
Ling,32
Roach,1
Ling,6
Creep_Tumor,3
Extractor,1
Hatch,1
Bane,22
Adrenal_Glands,1
Drone,1
Ling,2
Bane,6
Ling,26
Queen,1
Roach,2
Ling,4
Ling,18
Ling,2
Roach,1
Roach,1
Roach,2
Roach,1
Roach,2
Roach,5
Roach,2
Carapace_Upgrade,1
Melee_Attacks,1
Ling,4
Ling,2
Bane,22
Ravager,6
Ling,14
Ling,6
Creep_Tumor,2
Creep_Tumor,1
Creep_Tumor,1
Ling,34
