Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,2
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,1
Drone,1
Overlord,1
Ling,4
Queen,2
Drone,2
Drone,2
Spore_Crawler,1
Hatch,1
Metabolic_Boost,1
Creep_Tumor,1
Drone,1
Drone,2
Overlord,1
Queen,1
Drone,1
Creep_Tumor,1
Creep_Tumor,1
Drone,4
Overlord,1
Creep_Tumor,1
Queen,1
Drone,1
Overlord,1
Creep_Tumor,2
Drone,1
Drone,1
Queen,1
Creep_Tumor,1
Drone,1
Creep_Tumor,1
Ling,2
Overlord,1
Bane_Nest,1
Creep_Tumor,1
Queen,1
Creep_Tumor,1
Creep_Tumor,2
Drone,1
Ling,6
Drone,1
Creep_Tumor,2
Drone,1
Creep_Tumor,2
Lair,1
Creep_Tumor,1
Drone,2
Spore_Crawler,1
Overlord,1
Queen,1
Drone,3
Extractor,1
Creep_Tumor,3
Creep_Tumor,1
Drone,2
Creep_Tumor,4
Creep_Tumor,7
Creep_Tumor,2
Spore_Crawler,1
Creep_Tumor,2
Drone,2
Spore_Crawler,1
Ling,6
Overlord,1
Bane,3
Drone,1
Creep_Tumor,3
Drone,1
Overlord,1
Creep_Tumor,2
Creep_Tumor,2
Drone,1
Drone,1
Centrifugal_Hooks,1
Drone,3
Extractor,2
Drone,1
Creep_Tumor,5
Hatch,1
Creep_Tumor,4
Drone,2
Creep_Tumor,5
Evo_Chamber,1
Ling,2
Drone,1
Overlord,1
Drone,1
Extractor,1
Creep_Tumor,1
Spore_Crawler,2
Evo_Chamber,1
Ling,2
Seismic_Spines,7
Creep_Tumor,5
Ling,2
Ling,16
Drone,4
Overlord,1
Metabolic_Boost,1
Creep_Tumor,3
Bane,7
Creep_Tumor,1
Ling,4
Melee_Attacks,1
Carapace_Upgrade,1
Drone,3
Drone,1
Overlord,1
Creep_Tumor,5
Drone,3
Queen,1
Muscular_Augments,1
Creep_Tumor,3
Creep_Tumor,2
Spore_Crawler,2
Pneumatized_Carapace,1
Ling,8
Overlord,1
Hydra,5
Drone,4
Hydra,1
Overlord,1
Overlord,1
Creep_Tumor,2
Ling,2
Overlord,1
Infestation_Pit,1
Ling,6
Creep_Tumor,1
Creep_Tumor,6
Hatch,1
Creep_Tumor,3
Ling,10
Hydra,4
Extractor,1
Creep_Tumor,2
Hydra,3
Carapace_Upgrade,1
Muscular_Augments,1
Ling,6
Ling,6
Hydra,1
Grooved_Spines,1
Bane,16
Ling,2
Bane,5
Ling,4
Ling,16
Hydra,1
Ling,2
Bane,7
Carapace_Upgrade,1
Ling,14
Ling,4
Melee_Attacks,1
Ling,2
Bane,8
Ling,8
Bane,6
Ling,4
Ling,4
Hydra,1
Hydra,1
Hive,1
Ling,14
Hydra,1
Ling,8
Hydra,1
Bane,10
Creep_Tumor,2
Creep_Tumor,1
Ling,2
Creep_Tumor,1
Creep_Tumor,1
Ling,14
Hatch,1
Ling,2
Lurker_Den,1
Overlord,1
Extractor,1
Creep_Tumor,2
Creep_Tumor,3
Ling,8
Creep_Tumor,1
Creep_Tumor,1
Melee_Attacks,1
Ling,16
Viper,3
Bane,14
Ling,4
Hydra,1
Ling,18
Seismic_Spines,1
Lurker,9
Ling,4
Ling,2
Creep_Tumor,1
Ling,8
Overseer,1
Lurker,2
Hive,7
Lurker,1
Ling,34
Ling,2
Adaptive_Talons,1
Hydra,1
Ling,2
Spore_Crawler,1
Queen,1
Ling,4
Ling,2
Hydra,1
Lurker,4
Ling,8
Hydra,3
Hydra,1
Ling,2
Overlord,1
Queen,1
Ling,2
Ling,2
Hydra,1
Ling,2
Hydra,1
Lurker,3
